freq,unit,bmi,isced11,sex,age,geo,TIME_PERIOD,values
A,PC,BMI18P5-24,ED0-2,F,TOTAL,AT,2014,45.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,AT,2019,40.9
A,PC,BMI18P5-24,ED0-2,F,TOTAL,BE,2014,45.7
A,PC,BMI18P5-24,ED0-2,F,TOTAL,BE,2019,41
A,PC,BMI18P5-24,ED0-2,F,TOTAL,BG,2014,44.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,BG,2019,48.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,CY,2014,43.8
A,PC,BMI18P5-24,ED0-2,F,TOTAL,CY,2019,39.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,CZ,2014,42.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,CZ,2019,46.2
A,PC,BMI18P5-24,ED0-2,F,TOTAL,DE,2014,44.8
A,PC,BMI18P5-24,ED0-2,F,TOTAL,DE,2019,47.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,DK,2014,50.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,DK,2019,49.9
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EE,2014,37.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EE,2019,43.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EL,2014,38.2
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EL,2019,37.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,ES,2014,42.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,ES,2019,41.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EU27_2020,2014,45
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EU27_2020,2019,44.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,EU28,2014,44.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,FI,2014,42.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,FI,2019,38
A,PC,BMI18P5-24,ED0-2,F,TOTAL,FR,2014,45.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,FR,2019,45.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,HR,2014,37.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,HR,2019,27.5
A,PC,BMI18P5-24,ED0-2,F,TOTAL,HU,2014,41
A,PC,BMI18P5-24,ED0-2,F,TOTAL,HU,2019,35.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IE,2014,45.7
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IS,2014,48.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IS,2019,43.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IT,2014,50.9
A,PC,BMI18P5-24,ED0-2,F,TOTAL,IT,2019,50
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LT,2014,43.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LT,2019,50.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LU,2014,44.5
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LU,2019,45.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LV,2014,42.2
A,PC,BMI18P5-24,ED0-2,F,TOTAL,LV,2019,42.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,MT,2014,36.9
A,PC,BMI18P5-24,ED0-2,F,TOTAL,MT,2019,31.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,NL,2014,47.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,NL,2019,46.9
A,PC,BMI18P5-24,ED0-2,F,TOTAL,NO,2014,54.3
A,PC,BMI18P5-24,ED0-2,F,TOTAL,NO,2019,53.4
A,PC,BMI18P5-24,ED0-2,F,TOTAL,PL,2014,42.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,PL,2019,41.8
A,PC,BMI18P5-24,ED0-2,F,TOTAL,PT,2014,38.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,PT,2019,37.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,RO,2014,44.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,RO,2019,45.5
A,PC,BMI18P5-24,ED0-2,F,TOTAL,RS,2019,41
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SE,2014,48.5
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SE,2019,47.7
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SI,2014,36
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SI,2019,36.1
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SK,2014,40.6
A,PC,BMI18P5-24,ED0-2,F,TOTAL,SK,2019,36.2
A,PC,BMI18P5-24,ED0-2,F,TOTAL,TR,2014,36.7
A,PC,BMI18P5-24,ED0-2,F,TOTAL,TR,2019,29.7
A,PC,BMI18P5-24,ED0-2,F,TOTAL,UK,2014,37
A,PC,BMI18P5-24,ED0-2,F,Y15-19,AT,2014,70
A,PC,BMI18P5-24,ED0-2,F,Y15-19,AT,2019,55.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,BE,2014,73
A,PC,BMI18P5-24,ED0-2,F,Y15-19,BE,2019,54.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,BG,2014,69.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,BG,2019,70.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,CY,2014,66
A,PC,BMI18P5-24,ED0-2,F,Y15-19,CY,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-19,CZ,2014,80.6
A,PC,BMI18P5-24,ED0-2,F,Y15-19,CZ,2019,91.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,DE,2014,66.1
A,PC,BMI18P5-24,ED0-2,F,Y15-19,DE,2019,63.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,DK,2014,71.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,DK,2019,79.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EE,2014,65.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EE,2019,76
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EL,2014,78.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EL,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-19,ES,2014,71.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,ES,2019,66.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EU27_2020,2019,65.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,EU28,2014,69.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,FI,2014,66.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,FI,2019,59.6
A,PC,BMI18P5-24,ED0-2,F,Y15-19,FR,2014,65.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,FR,2019,47.4
A,PC,BMI18P5-24,ED0-2,F,Y15-19,HR,2014,73.6
A,PC,BMI18P5-24,ED0-2,F,Y15-19,HR,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-19,HU,2014,65.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,HU,2019,60.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,IE,2014,76.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,IS,2014,73.9
A,PC,BMI18P5-24,ED0-2,F,Y15-19,IS,2019,75.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,IT,2014,72.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,IT,2019,66.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LT,2014,82.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LT,2019,78.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LU,2014,75.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LU,2019,56.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LV,2014,79.1
A,PC,BMI18P5-24,ED0-2,F,Y15-19,LV,2019,78.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,MT,2014,62.4
A,PC,BMI18P5-24,ED0-2,F,Y15-19,MT,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-19,NL,2014,71.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,NL,2019,69.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,NO,2014,75.9
A,PC,BMI18P5-24,ED0-2,F,Y15-19,NO,2019,67.1
A,PC,BMI18P5-24,ED0-2,F,Y15-19,PL,2014,67.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,PL,2019,69.5
A,PC,BMI18P5-24,ED0-2,F,Y15-19,PT,2014,65.1
A,PC,BMI18P5-24,ED0-2,F,Y15-19,PT,2019,62.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,RO,2014,80.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,RO,2019,83.9
A,PC,BMI18P5-24,ED0-2,F,Y15-19,RS,2019,65.4
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SE,2014,73.8
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SE,2019,74.3
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SI,2014,74
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SI,2019,81.9
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SK,2014,72.7
A,PC,BMI18P5-24,ED0-2,F,Y15-19,SK,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-19,TR,2014,64.9
A,PC,BMI18P5-24,ED0-2,F,Y15-19,TR,2019,72.2
A,PC,BMI18P5-24,ED0-2,F,Y15-19,UK,2014,63.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,AT,2014,71.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,AT,2019,61.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,BE,2014,70.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,BE,2019,64.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,BG,2014,73.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,BG,2019,78.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,CY,2014,65.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,CY,2019,60.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,CZ,2014,81.5
A,PC,BMI18P5-24,ED0-2,F,Y15-24,CZ,2019,76.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DE,2014,64.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DE,2019,74.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DK,2014,66.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DK,2019,66.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EE,2014,68
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EE,2019,71.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EL,2014,78.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EL,2019,80
A,PC,BMI18P5-24,ED0-2,F,Y15-24,ES,2014,68.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,ES,2019,67.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU27_2020,2014,68.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU27_2020,2019,69
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU28,2014,68.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FI,2014,66.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FI,2019,59.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FR,2014,64.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FR,2019,60.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HR,2014,73.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HR,2019,69.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HU,2014,63.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HU,2019,63.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IE,2014,77.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IS,2014,74.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IS,2019,64.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IT,2014,72.7
